feature,history_window_hours,mean_abs_future_correlation,horizon_1_corr,horizon_24_corr
weather_temperature_vc_halle3_c,8.0,0.531564385565147,0.5517590368561247,0.5366480556697589
weather_temperature_vc_halle3_c,9.0,0.5325173501931788,0.5509852104096219,0.5375047119340437
weather_temperature_vc_halle3_c,10.0,0.5335531023966772,0.5500762939913986,0.5386530555123222
weather_temperature_vc_halle3_c,11.0,0.5346667411181952,0.5494428163142987,0.5397642619040415
weather_temperature_vc_halle3_c,12.0,0.5358416087723659,0.5487607465289795,0.5408913113287355
weather_temperature_vc_halle3_c,13.0,0.5370721424380064,0.5481832398415616,0.5419809655567005
weather_temperature_vc_halle3_c,14.0,0.5383522732014959,0.5477175613243828,0.5431905850210467
weather_temperature_vc_halle3_c,15.0,0.5396642663920964,0.547172496312086,0.5442421291625767
weather_temperature_vc_halle3_c,16.0,0.5410198234194628,0.5469020649978842,0.5456352441739863
weather_temperature_vc_halle3_c,17.0,0.5423987798903767,0.546798641572594,0.546935764299298
weather_temperature_vc_halle3_c,18.0,0.5437968118732589,0.5469012539667977,0.5483895533549069
weather_temperature_vc_halle3_c,19.0,0.5451955257547343,0.5472699178990562,0.5496809606265405
weather_temperature_vc_halle3_c,20.0,0.5465856261912722,0.5479725906682155,0.5510827813642051
weather_temperature_vc_halle3_c,21.0,0.5479568984939105,0.5486785231477251,0.5526191562619698
weather_temperature_vc_halle3_c,22.0,0.5493140521675067,0.5497924000749809,0.5542734398740239
weather_temperature_vc_halle3_c,23.0,0.5506434198576329,0.5510283325102332,0.5559696823715847
weather_temperature_vc_halle3_c,24.0,0.5519506968044368,0.552318825369401,0.5578493336839968
weather_temperature_vc_halle3_c,25.0,0.5532358016195618,0.5535951296499247,0.5596517714022784
weather_temperature_vc_halle3_c,26.0,0.5545108407952406,0.554768231755574,0.5615399319942661
weather_temperature_vc_halle3_c,27.0,0.555783174598075,0.5557841370248294,0.5632845238063614
weather_temperature_vc_halle3_c,28.0,0.5570638715000668,0.5567777371586169,0.5649311309106144
weather_temperature_vc_halle3_c,29.0,0.5583605794436851,0.5579262296375712,0.5665560223148786
weather_temperature_vc_halle3_c,30.0,0.559669935939925,0.5588956993442664,0.5681129881648611
weather_temperature_vc_halle3_c,31.0,0.5610026087590827,0.5598845143519582,0.5696425870166635
weather_temperature_vc_halle3_c,32.0,0.5623597476560352,0.5607732639052648,0.5711553597412402
weather_temperature_vc_halle3_c,33.0,0.5637439159123789,0.5618822575485951,0.5725954149042084
weather_temperature_vc_halle3_c,34.0,0.5651477255824039,0.5629106239290317,0.5740643198223573
weather_temperature_vc_halle3_c,35.0,0.5665765028580183,0.5639255318952605,0.5755852628852198
weather_temperature_vc_halle3_c,36.0,0.5680326788118505,0.5648898983012784,0.577174216335736
weather_temperature_vc_halle3_c,37.0,0.5695162011314036,0.5659537899837492,0.5787469965858231
weather_temperature_vc_halle3_c,38.0,0.5711223429586268,0.5669555619170351,0.580410879659747
weather_temperature_vc_halle3_c,39.0,0.5727322120475205,0.5682661354407389,0.5820459058840073
weather_temperature_vc_halle3_c,40.0,0.57433207538979,0.5694591473090062,0.5836631657280285
weather_temperature_vc_halle3_c,41.0,0.5759233757824903,0.570760333888673,0.585243488600318
weather_temperature_vc_halle3_c,42.0,0.5775013155487515,0.5718766806408135,0.5868383865051939
weather_temperature_vc_halle3_c,43.0,0.5790722330270918,0.5730731357366401,0.5884392855780416
weather_temperature_vc_halle3_c,44.0,0.5806309655830771,0.5743738698450691,0.5900348200396978
weather_temperature_vc_halle3_c,45.0,0.5821738146894578,0.5757544374663329,0.5916788180581539
weather_temperature_vc_halle3_c,46.0,0.5838887359317227,0.5774225663998265,0.5934982567243714
weather_temperature_vc_halle3_c,47.0,0.5855973628378712,0.5792461032668138,0.5953953308307793
weather_temperature_vc_halle3_c,48.0,0.5872885407508303,0.5810308359357567,0.597282104961133
weather_temperature_vc_halle3_c,49.0,0.5889604846783516,0.5828335054392977,0.599200757527505
weather_temperature_vc_halle3_c,50.0,0.590608605898297,0.5845237713786954,0.6010971364375657
weather_temperature_vc_halle3_c,51.0,0.5922349571704476,0.5861503383679697,0.6029126680752206
weather_temperature_vc_halle3_c,52.0,0.5938413850701166,0.5877326921431272,0.604671334780507
weather_temperature_vc_halle3_c,53.0,0.5954289105095204,0.5892555081243142,0.6063604445411476
weather_temperature_vc_halle3_c,54.0,0.5969991869324526,0.5907550598444358,0.6079731426263247
weather_temperature_vc_halle3_c,55.0,0.5985539651281552,0.5921905632674067,0.6095617905795372
weather_temperature_vc_halle3_c,56.0,0.6000947272216579,0.5935719997135936,0.6111110429967911
weather_temperature_vc_halle3_c,57.0,0.6016231700445709,0.5949265419285048,0.6126531266815906
weather_temperature_vc_halle3_c,58.0,0.6031392761636362,0.5962748833002751,0.6141638758189178
weather_temperature_vc_halle3_c,59.0,0.6046428627979735,0.5975972993660137,0.6156616642834158
weather_temperature_vc_halle3_c,60.0,0.6061360256605076,0.5989210863207848,0.6171854578985537
weather_temperature_vc_halle3_c,61.0,0.6076156812668105,0.6002484861881362,0.6186405716185075
weather_temperature_vc_halle3_c,62.0,0.6090804886846932,0.6015593192338882,0.6200675517715085
weather_temperature_vc_halle3_c,63.0,0.6105306788589492,0.6028606502956639,0.6214796996070192
